anime_id,title,genres,episodes,score,members,synopsis,image_style,dark_tone,romance_level,action_level,emotional_level
1,Fullmetal Alchemist: Brotherhood,"Action,Adventure,Drama,Fantasy",64,9.1,3300000,"Two brothers search for the Philosopher's Stone after a failed alchemy experiment changes their lives.","classic shounen adventure",0.55,0.25,0.90,0.75
2,Attack on Titan,"Action,Drama,Fantasy,Mystery",75,9.0,3700000,"Humanity fights for survival against giant humanoid creatures while uncovering dark political secrets.","dark military fantasy",0.95,0.10,1.00,0.85
3,Your Name,"Drama,Romance,Supernatural",1,8.8,2500000,"Two teenagers mysteriously swap bodies and form a deep emotional connection across time and distance.","bright romantic cinematic",0.20,1.00,0.10,0.95
4,Death Note,"Mystery,Supernatural,Thriller",37,8.6,2800000,"A student discovers a notebook that allows him to kill anyone and begins a psychological battle of justice.","dark psychological thriller",0.90,0.05,0.35,0.50
5,Demon Slayer,"Action,Adventure,Supernatural",26,8.5,2600000,"A young boy becomes a demon slayer after his family is attacked and his sister becomes a demon.","colorful action fantasy",0.55,0.15,0.95,0.70
6,Jujutsu Kaisen,"Action,Supernatural,School",24,8.6,2300000,"A student joins a secret world of curse users after swallowing a powerful cursed object.","modern dark action",0.70,0.10,0.95,0.55
7,Vinland Saga,"Action,Adventure,Drama,Historical",48,8.8,1200000,"A young warrior is pulled into revenge, war and the brutal reality of Viking history.","realistic historical drama",0.80,0.05,0.85,0.90
8,Monster,"Drama,Mystery,Psychological,Thriller",74,8.9,900000,"A doctor saves a boy who later becomes a dangerous figure, forcing him into a moral and psychological pursuit.","realistic psychological thriller",0.90,0.05,0.20,0.85
9,Steins Gate,"Drama,Sci-Fi,Thriller",24,9.0,1600000,"A group of friends accidentally discover time travel and face serious consequences across timelines.","urban sci-fi thriller",0.65,0.35,0.30,0.90
10,A Silent Voice,"Drama,Romance,Slice of Life",1,8.9,1700000,"A former bully tries to reconnect with a deaf girl and confront his guilt, loneliness and need for forgiveness.","soft emotional drama",0.30,0.70,0.05,1.00
11,March Comes in Like a Lion,"Drama,Slice of Life",44,8.7,500000,"A young professional shogi player struggles with loneliness, depression and personal growth.","soft slice of life",0.45,0.20,0.05,0.95
12,Mushishi,"Adventure,Fantasy,Mystery,Slice of Life",46,8.7,450000,"A quiet traveler studies mysterious life forms called Mushi and helps people affected by them.","calm atmospheric fantasy",0.35,0.05,0.05,0.75
13,Made in Abyss,"Adventure,Drama,Fantasy,Mystery",13,8.7,850000,"A girl descends into a beautiful but dangerous abyss to search for her mother.","beautiful dark fantasy",0.80,0.05,0.55,0.90
14,Odd Taxi,"Drama,Mystery,Psychological",13,8.5,350000,"A quiet taxi driver becomes connected to a missing girl case and the secrets of many passengers.","urban mystery",0.65,0.05,0.10,0.60
15,Ping Pong the Animation,"Drama,Sports",11,8.6,250000,"Two table tennis players grow through rivalry, talent, pressure and personal identity.","experimental sports drama",0.30,0.05,0.20,0.80
16,Samurai Champloo,"Action,Adventure,Comedy,Historical",26,8.5,950000,"Two swordsmen and a young woman travel through an alternative Edo-era Japan with hip-hop style.","stylized historical action",0.40,0.10,0.80,0.45
17,Cowboy Bebop,"Action,Adventure,Sci-Fi",26,8.8,1600000,"A group of bounty hunters travel through space while carrying emotional pasts and existential loneliness.","retro space noir",0.60,0.20,0.75,0.75
18,Erased,"Mystery,Supernatural,Thriller,Drama",12,8.3,1300000,"A man travels back to his childhood to prevent a tragedy and solve a series of crimes.","cold suspense drama",0.75,0.20,0.25,0.85
